year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,NTU,College of Engineering,Environmental Engineering,86.8,63.2,4205,4000,4351,4200,3900,4900
2025,NTU,College of Engineering,Information Engineering and Media,75.4,59.6,5071,4900,5130,4950,4700,5500
2025,NTU,College of Engineering,Maritime Studies,93.2,80.7,4344,4200,4424,4200,4000,4800
2025,NTU,College of Engineering,Materials Engineering,84.8,72.0,4538,4640,4748,4700,4200,5000
2025,NTU,College of Engineering,Mechanical Engineering,86.7,73.3,4537,4400,4664,4500,4090,5000
2025,NTU,College of Engineering / Computing and Data Science + College of Humanities Arts & Social Sciences,Double Degree in Engineering / Computer Science and Economics,93.8,68.8,6115,5000,6270,5500,5000,7500
2025,NTU,College of Humanities Arts & Social Sciences,Art Design and Media,76.4,34.8,3446,3350,3464,3350,3000,3600
2025,NTU,College of Humanities Arts & Social Sciences,Chinese,93.9,73.5,4018,4140,4208,4345,3625,4680
2025,NTU,College of Humanities Arts & Social Sciences,Communication Studies,91.0,55.7,4075,4000,4164,4000,3700,4618
2025,NTU,College of Humanities Arts & Social Sciences,Economics,92.3,78.5,4542,4500,4709,4621,4100,5200
2025,NTU,College of Humanities Arts & Social Sciences,English,77.9,51.5,3880,4000,4008,4100,3200,4680
2025,NTU,College of Humanities Arts & Social Sciences,History,81.8,52.3,4360,4500,4516,4583,3700,4800
2025,NTU,College of Humanities Arts & Social Sciences,Linguistics and Multilingual Studies,77.4,47.2,3784,3800,4035,3950,3550,4498
2025,NTU,College of Humanities Arts & Social Sciences,Philosophy,75.0,62.5,4054,4050,4383,4390,3500,4908
2025,NTU,College of Humanities Arts & Social Sciences,Psychology,83.8,58.6,4173,4000,4354,4065,3850,4945
2025,NTU,College of Humanities Arts & Social Sciences,Public Policy and Global Affairs,87.1,71.0,4887,4698,4966,4880,4500,5550
2025,NTU,College of Humanities Arts & Social Sciences,Sociology,83.3,64.8,4112,4225,4398,4500,4000,4780
